crop_id,state,share,rep_district,lat,lon,source
ridge_gourd,Gujarat,0.08,Gujarat,21.52,70.46,S4
ridge_gourd,Odisha,0.08,Odisha,20.46,85.88,S4
ridge_gourd,Karnataka,0.07,Karnataka,15.85,74.50,S4
ridge_gourd,Andhra Pradesh,0.06,Andhra Pradesh,16.31,80.44,S4
ridge_gourd,Tamil Nadu,0.06,Tamil Nadu,11.02,76.96,S4
ridge_gourd,Assam,0.05,Assam,26.75,94.22,S4
ash_gourd,West Bengal,0.16,West Bengal,23.25,87.85,S4
ash_gourd,Uttar Pradesh,0.14,Uttar Pradesh,28.98,77.71,S4
ash_gourd,Bihar,0.11,Bihar,25.59,85.14,S4
ash_gourd,Madhya Pradesh,0.10,Madhya Pradesh,22.72,75.86,S4
ash_gourd,Maharashtra,0.09,Maharashtra,20.00,73.79,S4
ash_gourd,Gujarat,0.08,Gujarat,21.52,70.46,S4
ash_gourd,Odisha,0.08,Odisha,20.46,85.88,S4
ash_gourd,Karnataka,0.07,Karnataka,15.85,74.50,S4
ash_gourd,Andhra Pradesh,0.06,Andhra Pradesh,16.31,80.44,S4
ash_gourd,Tamil Nadu,0.06,Tamil Nadu,11.02,76.96,S4
ash_gourd,Assam,0.05,Assam,26.75,94.22,S4
snake_gourd,West Bengal,0.16,West Bengal,23.25,87.85,S4
snake_gourd,Uttar Pradesh,0.14,Uttar Pradesh,28.98,77.71,S4
snake_gourd,Bihar,0.11,Bihar,25.59,85.14,S4
snake_gourd,Madhya Pradesh,0.10,Madhya Pradesh,22.72,75.86,S4
snake_gourd,Maharashtra,0.09,Maharashtra,20.00,73.79,S4
snake_gourd,Gujarat,0.08,Gujarat,21.52,70.46,S4
snake_gourd,Odisha,0.08,Odisha,20.46,85.88,S4
snake_gourd,Karnataka,0.07,Karnataka,15.85,74.50,S4
snake_gourd,Andhra Pradesh,0.06,Andhra Pradesh,16.31,80.44,S4
snake_gourd,Tamil Nadu,0.06,Tamil Nadu,11.02,76.96,S4
snake_gourd,Assam,0.05,Assam,26.75,94.22,S4
capsicum,West Bengal,0.16,West Bengal,23.25,87.85,S4
capsicum,Uttar Pradesh,0.14,Uttar Pradesh,28.98,77.71,S4
capsicum,Bihar,0.11,Bihar,25.59,85.14,S4
capsicum,Madhya Pradesh,0.10,Madhya Pradesh,22.72,75.86,S4
capsicum,Maharashtra,0.09,Maharashtra,20.00,73.79,S4
capsicum,Gujarat,0.08,Gujarat,21.52,70.46,S4
capsicum,Odisha,0.08,Odisha,20.46,85.88,S4
capsicum,Karnataka,0.07,Karnataka,15.85,74.50,S4
capsicum,Andhra Pradesh,0.06,Andhra Pradesh,16.31,80.44,S4
capsicum,Tamil Nadu,0.06,Tamil Nadu,11.02,76.96,S4
capsicum,Assam,0.05,Assam,26.75,94.22,S4
drumstick,Kerala,0.34,Kerala,10.53,76.21,S4
drumstick,Karnataka,0.28,Karnataka,15.85,74.50,S4
drumstick,Tamil Nadu,0.20,Tamil Nadu,11.02,76.96,S4
drumstick,Andhra Pradesh,0.10,Andhra Pradesh,16.31,80.44,S4
drumstick,Maharashtra,0.05,Maharashtra,20.00,73.79,S4
drumstick,Goa,0.03,Goa,15.52,73.86,S4
french_beans,West Bengal,0.16,West Bengal,23.25,87.85,S4
french_beans,Uttar Pradesh,0.14,Uttar Pradesh,28.98,77.71,S4
french_beans,Bihar,0.11,Bihar,25.59,85.14,S4
french_beans,Madhya Pradesh,0.10,Madhya Pradesh,22.72,75.86,S4
french_beans,Maharashtra,0.09,Maharashtra,20.00,73.79,S4
french_beans,Gujarat,0.08,Gujarat,21.52,70.46,S4
french_beans,Odisha,0.08,Odisha,20.46,85.88,S4
french_beans,Karnataka,0.07,Karnataka,15.85,74.50,S4
french_beans,Andhra Pradesh,0.06,Andhra Pradesh,16.31,80.44,S4
french_beans,Tamil Nadu,0.06,Tamil Nadu,11.02,76.96,S4
french_beans,Assam,0.05,Assam,26.75,94.22,S4
cluster_beans,West Bengal,0.16,West Bengal,23.25,87.85,S4
cluster_beans,Uttar Pradesh,0.14,Uttar Pradesh,28.98,77.71,S4
cluster_beans,Bihar,0.11,Bihar,25.59,85.14,S4
cluster_beans,Madhya Pradesh,0.10,Madhya Pradesh,22.72,75.86,S4
cluster_beans,Maharashtra,0.09,Maharashtra,20.00,73.79,S4
cluster_beans,Gujarat,0.08,Gujarat,21.52,70.46,S4
cluster_beans,Odisha,0.08,Odisha,20.46,85.88,S4
cluster_beans,Karnataka,0.07,Karnataka,15.85,74.50,S4
cluster_beans,Andhra Pradesh,0.06,Andhra Pradesh,16.31,80.44,S4
cluster_beans,Tamil Nadu,0.06,Tamil Nadu,11.02,76.96,S4
cluster_beans,Assam,0.05,Assam,26.75,94.22,S4
beetroot,West Bengal,0.16,West Bengal,23.25,87.85,S4
beetroot,Uttar Pradesh,0.14,Uttar Pradesh,28.98,77.71,S4
beetroot,Bihar,0.11,Bihar,25.59,85.14,S4
beetroot,Madhya Pradesh,0.10,Madhya Pradesh,22.72,75.86,S4
beetroot,Maharashtra,0.09,Maharashtra,20.00,73.79,S4
beetroot,Gujarat,0.08,Gujarat,21.52,70.46,S4
beetroot,Odisha,0.08,Odisha,20.46,85.88,S4
beetroot,Karnataka,0.07,Karnataka,15.85,74.50,S4
beetroot,Andhra Pradesh,0.06,Andhra Pradesh,16.31,80.44,S4
beetroot,Tamil Nadu,0.06,Tamil Nadu,11.02,76.96,S4
beetroot,Assam,0.05,Assam,26.75,94.22,S4
radish,West Bengal,0.16,West Bengal,23.25,87.85,S4
radish,Uttar Pradesh,0.14,Uttar Pradesh,28.98,77.71,S4
radish,Bihar,0.11,Bihar,25.59,85.14,S4
radish,Madhya Pradesh,0.10,Madhya Pradesh,22.72,75.86,S4
radish,Maharashtra,0.09,Maharashtra,20.00,73.79,S4
radish,Gujarat,0.08,Gujarat,21.52,70.46,S4
radish,Odisha,0.08,Odisha,20.46,85.88,S4
radish,Karnataka,0.07,Karnataka,15.85,74.50,S4
radish,Andhra Pradesh,0.06,Andhra Pradesh,16.31,80.44,S4
radish,Tamil Nadu,0.06,Tamil Nadu,11.02,76.96,S4
radish,Assam,0.05,Assam,26.75,94.22,S4
sweet_potato,Odisha,0.22,Odisha,20.46,85.88,S4
sweet_potato,West Bengal,0.20,West Bengal,23.25,87.85,S4
sweet_potato,Uttar Pradesh,0.14,Uttar Pradesh,28.98,77.71,S4
sweet_potato,Bihar,0.12,Bihar,25.59,85.14,S4
sweet_potato,Madhya Pradesh,0.10,Madhya Pradesh,22.72,75.86,S4
sweet_potato,Assam,0.09,Assam,26.75,94.22,S4
sweet_potato,Tamil Nadu,0.07,Tamil Nadu,11.02,76.96,S4
sweet_potato,Kerala,0.06,Kerala,10.53,76.21,S4
colocasia,Odisha,0.22,Odisha,20.46,85.88,S4
colocasia,West Bengal,0.20,West Bengal,23.25,87.85,S4
colocasia,Uttar Pradesh,0.14,Uttar Pradesh,28.98,77.71,S4
colocasia,Bihar,0.12,Bihar,25.59,85.14,S4
colocasia,Madhya Pradesh,0.10,Madhya Pradesh,22.72,75.86,S4
colocasia,Assam,0.09,Assam,26.75,94.22,S4
colocasia,Tamil Nadu,0.07,Tamil Nadu,11.02,76.96,S4
colocasia,Kerala,0.06,Kerala,10.53,76.21,S4
yam,Odisha,0.22,Odisha,20.46,85.88,S4
yam,West Bengal,0.20,West Bengal,23.25,87.85,S4
yam,Uttar Pradesh,0.14,Uttar Pradesh,28.98,77.71,S4
yam,Bihar,0.12,Bihar,25.59,85.14,S4
yam,Madhya Pradesh,0.10,Madhya Pradesh,22.72,75.86,S4
yam,Assam,0.09,Assam,26.75,94.22,S4
yam,Tamil Nadu,0.07,Tamil Nadu,11.02,76.96,S4
yam,Kerala,0.06,Kerala,10.53,76.21,S4
fenugreek_leaf,West Bengal,0.20,West Bengal,23.25,87.85,S4
fenugreek_leaf,Uttar Pradesh,0.16,Uttar Pradesh,28.98,77.71,S4
fenugreek_leaf,Maharashtra,0.12,Maharashtra,20.00,73.79,S4
fenugreek_leaf,Bihar,0.11,Bihar,25.59,85.14,S4
fenugreek_leaf,Gujarat,0.10,Gujarat,21.52,70.46,S4
fenugreek_leaf,Karnataka,0.09,Karnataka,15.85,74.50,S4
fenugreek_leaf,Madhya Pradesh,0.08,Madhya Pradesh,22.72,75.86,S4
fenugreek_leaf,Tamil Nadu,0.08,Tamil Nadu,11.02,76.96,S4
fenugreek_leaf,Odisha,0.06,Odisha,20.46,85.88,S4
coriander_leaf,West Bengal,0.20,West Bengal,23.25,87.85,S4
coriander_leaf,Uttar Pradesh,0.16,Uttar Pradesh,28.98,77.71,S4
coriander_leaf,Maharashtra,0.12,Maharashtra,20.00,73.79,S4
coriander_leaf,Bihar,0.11,Bihar,25.59,85.14,S4
coriander_leaf,Gujarat,0.10,Gujarat,21.52,70.46,S4
coriander_leaf,Karnataka,0.09,Karnataka,15.85,74.50,S4
coriander_leaf,Madhya Pradesh,0.08,Madhya Pradesh,22.72,75.86,S4
coriander_leaf,Tamil Nadu,0.08,Tamil Nadu,11.02,76.96,S4
coriander_leaf,Odisha,0.06,Odisha,20.46,85.88,S4
mint_leaf,West Bengal,0.20,West Bengal,23.25,87.85,S4
mint_leaf,Uttar Pradesh,0.16,Uttar Pradesh,28.98,77.71,S4
mint_leaf,Maharashtra,0.12,Maharashtra,20.00,73.79,S4
mint_leaf,Bihar,0.11,Bihar,25.59,85.14,S4
mint_leaf,Gujarat,0.10,Gujarat,21.52,70.46,S4
mint_leaf,Karnataka,0.09,Karnataka,15.85,74.50,S4
mint_leaf,Madhya Pradesh,0.08,Madhya Pradesh,22.72,75.86,S4
mint_leaf,Tamil Nadu,0.08,Tamil Nadu,11.02,76.96,S4
mint_leaf,Odisha,0.06,Odisha,20.46,85.88,S4
curry_leaf,Kerala,0.34,Kerala,10.53,76.21,S4
curry_leaf,Karnataka,0.28,Karnataka,15.85,74.50,S4
curry_leaf,Tamil Nadu,0.20,Tamil Nadu,11.02,76.96,S4
curry_leaf,Andhra Pradesh,0.10,Andhra Pradesh,16.31,80.44,S4
curry_leaf,Maharashtra,0.05,Maharashtra,20.00,73.79,S4
curry_leaf,Goa,0.03,Goa,15.52,73.86,S4
spring_onion,West Bengal,0.20,West Bengal,23.25,87.85,S4
spring_onion,Uttar Pradesh,0.16,Uttar Pradesh,28.98,77.71,S4
spring_onion,Maharashtra,0.12,Maharashtra,20.00,73.79,S4
spring_onion,Bihar,0.11,Bihar,25.59,85.14,S4
spring_onion,Gujarat,0.10,Gujarat,21.52,70.46,S4
spring_onion,Karnataka,0.09,Karnataka,15.85,74.50,S4
spring_onion,Madhya Pradesh,0.08,Madhya Pradesh,22.72,75.86,S4
spring_onion,Tamil Nadu,0.08,Tamil Nadu,11.02,76.96,S4
spring_onion,Odisha,0.06,Odisha,20.46,85.88,S4
mushroom,Punjab,0.28,Punjab,30.24,75.84,S4
mushroom,Haryana,0.22,Haryana,29.69,76.99,S4
mushroom,Uttarakhand,0.14,Uttarakhand,28.97,79.40,S4
mushroom,Himachal Pradesh,0.12,Himachal Pradesh,32.10,76.27,S4
mushroom,Maharashtra,0.10,Maharashtra,20.00,73.79,S4
mushroom,Odisha,0.08,Odisha,20.46,85.88,S4
mushroom,Tamil Nadu,0.06,Tamil Nadu,11.02,76.96,S4
sweet_corn,West Bengal,0.16,West Bengal,23.25,87.85,S4
sweet_corn,Uttar Pradesh,0.14,Uttar Pradesh,28.98,77.71,S4
sweet_corn,Bihar,0.11,Bihar,25.59,85.14,S4
sweet_corn,Madhya Pradesh,0.10,Madhya Pradesh,22.72,75.86,S4
sweet_corn,Maharashtra,0.09,Maharashtra,20.00,73.79,S4
sweet_corn,Gujarat,0.08,Gujarat,21.52,70.46,S4
sweet_corn,Odisha,0.08,Odisha,20.46,85.88,S4
sweet_corn,Karnataka,0.07,Karnataka,15.85,74.50,S4
sweet_corn,Andhra Pradesh,0.06,Andhra Pradesh,16.31,80.44,S4
sweet_corn,Tamil Nadu,0.06,Tamil Nadu,11.02,76.96,S4
sweet_corn,Assam,0.05,Assam,26.75,94.22,S4
pomegranate,Maharashtra,0.58,Maharashtra,20.00,73.79,S4
pomegranate,Gujarat,0.14,Gujarat,21.52,70.46,S4
pomegranate,Karnataka,0.12,Karnataka,15.85,74.50,S4
pomegranate,Andhra Pradesh,0.08,Andhra Pradesh,16.31,80.44,S4
pomegranate,Rajasthan,0.05,Rajasthan,26.91,75.79,S4
pomegranate,Madhya Pradesh,0.03,Madhya Pradesh,22.72,75.86,S4
pineapple,West Bengal,0.28,West Bengal,23.25,87.85,S4
pineapple,Assam,0.24,Assam,26.75,94.22,S4
pineapple,Kerala,0.16,Kerala,10.53,76.21,S4
pineapple,Tripura,0.12,Tripura,23.84,91.28,S4
pineapple,Karnataka,0.10,Karnataka,15.85,74.50,S4
pineapple,Meghalaya,0.10,Meghalaya,25.57,91.89,S4
sapota,Karnataka,0.30,Karnataka,15.85,74.50,S4
sapota,Maharashtra,0.26,Maharashtra,20.00,73.79,S4
sapota,Gujarat,0.18,Gujarat,21.52,70.46,S4
sapota,Tamil Nadu,0.14,Tamil Nadu,11.02,76.96,S4
sapota,Andhra Pradesh,0.12,Andhra Pradesh,16.31,80.44,S4
custard_apple,Maharashtra,0.36,Maharashtra,20.00,73.79,S4
custard_apple,Andhra Pradesh,0.20,Andhra Pradesh,16.31,80.44,S4
custard_apple,Karnataka,0.16,Karnataka,15.85,74.50,S4
custard_apple,Gujarat,0.14,Gujarat,21.52,70.46,S4
custard_apple,Madhya Pradesh,0.14,Madhya Pradesh,22.72,75.86,S4
jackfruit,Kerala,0.34,Kerala,10.53,76.21,S4
jackfruit,Karnataka,0.28,Karnataka,15.85,74.50,S4
jackfruit,Tamil Nadu,0.20,Tamil Nadu,11.02,76.96,S4
jackfruit,Andhra Pradesh,0.10,Andhra Pradesh,16.31,80.44,S4
jackfruit,Maharashtra,0.05,Maharashtra,20.00,73.79,S4
jackfruit,Goa,0.03,Goa,15.52,73.86,S4
lemon,Andhra Pradesh,0.28,Andhra Pradesh,16.31,80.44,S4
lemon,Maharashtra,0.20,Maharashtra,20.00,73.79,S4
lemon,Gujarat,0.14,Gujarat,21.52,70.46,S4
lemon,Tamil Nadu,0.12,Tamil Nadu,11.02,76.96,S4
lemon,Karnataka,0.10,Karnataka,15.85,74.50,S4
lemon,Rajasthan,0.09,Rajasthan,26.91,75.79,S4
lemon,Odisha,0.07,Odisha,20.46,85.88,S4
turmeric,Telangana,0.32,Telangana,18.67,78.09,S4
turmeric,Maharashtra,0.20,Maharashtra,20.00,73.79,S4
turmeric,Tamil Nadu,0.16,Tamil Nadu,11.02,76.96,S4
turmeric,Karnataka,0.12,Karnataka,15.85,74.50,S4
turmeric,Andhra Pradesh,0.10,Andhra Pradesh,16.31,80.44,S4
turmeric,Odisha,0.10,Odisha,20.46,85.88,S4
ginger,Karnataka,0.24,Karnataka,15.85,74.50,S4
ginger,Assam,0.18,Assam,26.75,94.22,S4
ginger,Meghalaya,0.14,Meghalaya,25.57,91.89,S4
ginger,West Bengal,0.12,West Bengal,23.25,87.85,S4
ginger,Odisha,0.12,Odisha,20.46,85.88,S4
ginger,Kerala,0.10,Kerala,10.53,76.21,S4
ginger,Nagaland,0.10,Nagaland,25.67,94.11,S4
cumin,Gujarat,0.62,Gujarat,21.52,70.46,S4
cumin,Rajasthan,0.34,Rajasthan,26.91,75.79,S4
cumin,Madhya Pradesh,0.04,Madhya Pradesh,22.72,75.86,S4
coriander_seed,Gujarat,0.28,Gujarat,21.52,70.46,S4
coriander_seed,Rajasthan,0.24,Rajasthan,26.91,75.79,S4
coriander_seed,Madhya Pradesh,0.16,Madhya Pradesh,22.72,75.86,S4
coriander_seed,Andhra Pradesh,0.12,Andhra Pradesh,16.31,80.44,S4
coriander_seed,Telangana,0.08,Telangana,18.67,78.09,S4
coriander_seed,Karnataka,0.07,Karnataka,15.85,74.50,S4
coriander_seed,Tamil Nadu,0.05,Tamil Nadu,11.02,76.96,S4
black_pepper,Kerala,0.62,Kerala,10.53,76.21,S4
black_pepper,Karnataka,0.26,Karnataka,15.85,74.50,S4
black_pepper,Tamil Nadu,0.12,Tamil Nadu,11.02,76.96,S4
cardamom,Kerala,0.58,Kerala,10.53,76.21,S4
cardamom,Karnataka,0.28,Karnataka,15.85,74.50,S4
cardamom,Tamil Nadu,0.14,Tamil Nadu,11.02,76.96,S4
cashew,Maharashtra,0.24,Maharashtra,20.00,73.79,S4
cashew,Andhra Pradesh,0.20,Andhra Pradesh,16.31,80.44,S4
cashew,Odisha,0.16,Odisha,20.46,85.88,S4
cashew,Karnataka,0.14,Karnataka,15.85,74.50,S4
cashew,Kerala,0.12,Kerala,10.53,76.21,S4
cashew,Tamil Nadu,0.08,Tamil Nadu,11.02,76.96,S4
cashew,Goa,0.06,Goa,15.52,73.86,S4
almond,Jammu and Kashmir,0.44,Jammu and Kashmir,32.73,74.87,S4
almond,Himachal Pradesh,0.32,Himachal Pradesh,32.10,76.27,S4
almond,Uttarakhand,0.18,Uttarakhand,28.97,79.40,S4
almond,Meghalaya,0.03,Meghalaya,25.57,91.89,S4
almond,Nagaland,0.03,Nagaland,25.67,94.11,S4
walnut,Jammu and Kashmir,0.44,Jammu and Kashmir,32.73,74.87,S4
walnut,Himachal Pradesh,0.32,Himachal Pradesh,32.10,76.27,S4
walnut,Uttarakhand,0.18,Uttarakhand,28.97,79.40,S4
walnut,Meghalaya,0.03,Meghalaya,25.57,91.89,S4
walnut,Nagaland,0.03,Nagaland,25.67,94.11,S4
